EmpID,First,Last,Dept,Title,OfficeEmail,StreetNumber,Apt,City,State,ZipCode,Country,OfficePhone,PayType,Wage,DateOfBirth,SocialSecurity,StartDate,EndDate,BankInfo,PermissionLevel,EmergencyContact,Deactivated,Password,Route,Account
1,John,Doe,Green Pixies,Magic Teacher,john.doe@gmail.com,123 abc street,,Spanish Fork,Utah,14323,USA,801-123-1234,Hourly,40,1/1/2000,123-123-123,1/1/2022,12/1/2022,dm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,30417353-K,465794-3611
2,John,Green, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,mm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,36644938-8,244269-0000
3,John,Smith, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,dm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,15300058-1,828625-2906
4,Joe,Scholz, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,mm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,44553589-3,785957-2104
5,John,Evil, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,dm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,21038669-6,654904-8491
9,John,Chao, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,mm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,30417353-A,465794-1234
22,John,Chin, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,dm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,30417353-B,567794-5678
21,John,Morris, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,mm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,30417353-C,465794-9012
34,John,Muir, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,dm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,30417353-D,465794-3456
55,John,Nelson, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,mm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,30417353-E,465794-7890
12,John,Johnson, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,dm,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,30417353-F,465794-1111
11,John,Merkel, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,mm, employee,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa,30417353-G,465794-2022
