EmpID,First,Last,Dept,Title,OfficeEmail,StreetNumber,Apt,City,State,ZipCode,Country,OfficePhone,PayType,Wage,DateOfBirth,SocialSecurity,StartDate,EndDate,BankInfo,PermissionLevel,EmergencyContact,Deactivated,Password
1,John,Doe, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
2,John,Green, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
3,John,Smith, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
4,Joe,Scholz, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
5,John,Evil, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
9,John,Chao, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
22,John,Chin, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
21,John,Morris, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
34,John,Muir, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
55,John,Nelson, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
12,John,Johnson, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan,admin,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
11,John,Merkel, Green Pixies,Magic Teacher, john.doe@gmail.com, 123 abc street,, Spanish Fork, Utah, 14323,USA, 801-123-1234,Hourly,40,1/1/2000,123-123-123, 1/1/2022,12/1/2022,JP Morgan, employee,Bazinga : 123-123-1234,n,d04b98f48e8f8bcc15c6ae5ac050801cd6dcfd428fb5f9e65c4e16e7807340fa
